1341044514.281651	[put]
1341044514.481793	[TX]
1341044514.602219	[RX]
1341044519.409790	[RETRANSMIT_data]
1341044519.609915	[TX]
1341044519.734015	[RX]
1341044520.097215	[TX]
1341044520.565749	[RX]
1341044520.841466	[TX]
1341044520.950992	[RX]
1341044525.769436	[RETRANSMIT_data]
1341044525.969598	[TX]
1341044526.076314	[RX]
1341044526.841444	[TX]
1341044526.953452	[RX]
1341044530.769373	[RETRANSMIT_data]
1341044530.969569	[TX]
1341044531.085837	[RX]
1341044531.969565	[TX]
1341044532.083579	[RX]
1341044534.897549	[RETRANSMIT_data]
1341044535.097727	[TX]
1341044535.208963	[RX]
1341044536.098212	[TX]
1341044536.204652	[RX]
1341044536.400350	[TRANSMISSION COMPLETE: Closing in 10 seconds]
1341044536.400664	[exit]
1341044611.569240	[put]
1341044611.769537	[TX]
1341044611.888264	[RX]
1341044617.697524	[RETRANSMIT_data]
1341044617.897682	[TX]
1341044618.015661	[RX]
1341044622.825598	[RETRANSMIT_data]
1341044623.025736	[TX]
1341044623.139938	[RX]
1341044627.953864	[RETRANSMIT_data]
1341044628.154022	[TX]
1341044628.281513	[RX]
1341044633.081989	[RETRANSMIT_data]
1341044633.282172	[TX]
1341044633.407709	[RX]
1341044637.210076	[RETRANSMIT_data]
1341044637.410250	[TX]
1341044637.530170	[RX]
1341044640.338174	[RETRANSMIT_data]
1341044640.538353	[TX]
1341044640.666651	[RX]
1341044641.025869	[TX]
1341044641.502062	[RX]
1341044641.769901	[TX]
1341044641.887236	[RX]
1341044642.069083	[TRANSMISSION COMPLETE: Closing in 10 seconds]
1341044642.069366	[exit]
1341044678.952690	[put]
1341044679.152860	[TX]
1341044679.278853	[RX]
1341044679.642054	[TX]
1341044680.119415	[RX]
1341044680.386096	[TX]
1341044680.497149	[RX]
1341044680.685404	[TRANSMISSION COMPLETE: Closing in 10 seconds]
1341044680.685731	[exit]
1341044691.416733	[put]
1341044691.616872	[TX]
1341044691.736498	[RX]
1341044692.106442	[TX]
1341044692.582358	[RX]
1341044692.850610	[TX]
1341044692.963269	[RX]
1341044693.152829	[TRANSMISSION COMPLETE: Closing in 10 seconds]
1341044693.153205	[exit]
1341044701.328788	[put]
1341044701.528935	[TX]
1341044701.648005	[RX]
1341044702.018713	[TX]
1341044702.503536	[RX]
1341044702.762819	[TX]
1341044702.876164	[RX]
1341044703.065126	[TRANSMISSION COMPLETE: Closing in 10 seconds]
1341044703.065434	[exit]
1341044706.208920	[put]
1341044706.409199	[TX]
1341044706.531182	[RX]
1341044706.898143	[TX]
1341044707.373781	[RX]
1341044707.642205	[TX]
1341044707.748453	[RX]
1341044707.941385	[TRANSMISSION COMPLETE: Closing in 10 seconds]
1341044707.941693	[exit]
1341044713.256559	[put]
1341044713.456835	[TX]
1341044713.576472	[RX]
1341044713.946328	[TX]
1341044714.420663	[RX]
1341044714.690637	[TX]
1341044714.797709	[RX]
1341044714.993628	[TRANSMISSION COMPLETE: Closing in 10 seconds]
1341044714.993854	[exit]
1341044730.568739	[put]
1341044730.769017	[TX]
1341044730.890258	[RX]
1341044731.259253	[TX]
1341044731.741405	[RX]
1341044732.002149	[TX]
1341044732.479710	[RX]
1341044732.746174	[TX]
1341044733.217141	[RX]
1341044733.490325	[TX]
1341044733.961098	[RX]
1341044734.234299	[TX]
1341044734.709846	[RX]
1341044734.978498	[TX]
1341044735.463036	[RX]
1341044735.722435	[TX]
1341044736.192016	[RX]
1341044736.466521	[TX]
1341044736.940324	[RX]
1341044737.210595	[TX]
1341044737.685737	[RX]
1341044737.954840	[TX]
1341044738.432405	[RX]
1341044738.698893	[TX]
1341044739.182366	[RX]
1341044739.442966	[TX]
1341044739.922224	[RX]
1341044740.187125	[TX]
1341044740.666800	[RX]
1341044740.931072	[TX]
1341044741.409056	[RX]
1341044741.674219	[TX]
1341044742.154642	[RX]
1341044742.418177	[TX]
1341044742.894524	[RX]
1341044743.162461	[TX]
1341044743.282874	[RX]
1341044743.461559	[TRANSMISSION COMPLETE: Closing in 10 seconds]
1341044743.461754	[exit]
1341044761.439728	[put]
1341044761.639907	[TX]
1341044761.759973	[RX]
1341044762.127009	[TX]
1341044762.602260	[RX]
1341044762.871166	[TX]
1341044763.353798	[RX]
1341044763.615276	[TX]
1341044764.091269	[RX]
1341044764.358381	[TX]
1341044764.832695	[RX]
1341044765.102518	[TX]
1341044765.584807	[RX]
1341044765.846622	[TX]
1341044766.330048	[RX]
1341044766.590801	[TX]
1341044767.071789	[RX]
1341044767.335007	[TX]
1341044767.806414	[RX]
1341044768.079277	[TX]
1341044768.555542	[RX]
1341044768.822359	[TX]
1341044769.295383	[RX]
1341044769.566378	[TX]
1341044770.043380	[RX]
1341044770.310502	[TX]
1341044770.781322	[RX]
1341044771.054779	[TX]
1341044771.529568	[RX]
1341044771.798941	[TX]
1341044772.275009	[RX]
1341044772.543190	[TX]
1341044773.020203	[RX]
1341044773.286311	[TX]
1341044773.769001	[RX]
1341044774.030456	[TX]
1341044774.148296	[RX]
1341044774.329654	[TRANSMISSION COMPLETE: Closing in 10 seconds]
1341044774.329914	[exit]
1341044785.295805	[put]
1341044785.495999	[TX]
1341044785.622852	[RX]
1341044785.982856	[TX]
1341044786.463159	[RX]
1341044786.726773	[TX]
1341044787.199720	[RX]
1341044787.471029	[TX]
1341044787.942213	[RX]
1341044788.215181	[TX]
1341044788.691629	[RX]
1341044788.959387	[TX]
1341044789.434966	[RX]
1341044789.702510	[TX]
1341044790.180744	[RX]
1341044790.446751	[TX]
1341044790.924114	[RX]
